entry_date,near_expiry,far_expiry,strike,lot_near,lot_far,entry_near_pe,exit_near_pe,entry_near_ce,exit_near_ce,entry_far_ce,exit_far_ce,entry_far_pe,exit_far_pe,pnl_inr
2022-04-18,2022-04-21,2022-05-12,17200.0,50,50,101.25,0.15,150.0,191.0,425.0,415.2,289.0,183.65,-2327.500000000001
2022-04-22,2022-04-28,2022-05-19,17250.0,50,50,136.0,5.65,174.95,7.7,351.0,300.8,0.0,302.0,-15765.0
2022-04-29,2022-05-05,2022-05-26,17350.0,50,50,172.15,665.3,130.0,0.1,331.35,70.3,359.45,725.6,-207.5
2022-05-06,2022-05-12,2022-06-02,16400.0,50,50,137.65,604.35,202.0,0.15,394.25,117.9,323.6,700.3,775.0000000000036
2022-05-13,2022-05-19,2022-06-09,16000.0,50,50,199.0,196.25,159.0,0.2,363.7,245.65,399.0,466.5,-1474.9999999999982
2022-05-20,2022-05-26,2022-06-16,16050.0,50,50,200.25,0.4,153.0,104.15,0.0,400.0,0.0,272.2,-1160.0
2022-05-27,2022-06-02,2022-06-23,16300.0,50,50,200.0,0.15,155.45,318.45,357.05,498.8,385.0,177.2,-665.0
2022-06-03,2022-06-09,2022-06-30,16750.0,50,50,162.3,280.15,160.0,0.1,340.6,152.1,311.95,421.75,-1027.5000000000045
2022-06-10,2022-06-16,2022-07-07,16300.0,50,50,140.05,933.05,193.9,0.1,324.0,46.8,328.35,980.0,2897.5
2022-06-17,2022-06-23,2022-07-14,15250.0,50,50,180.1,0.15,247.95,306.45,0.0,990.25,360.5,249.2,43155.0
2022-06-24,2022-06-30,2022-07-21,15650.0,50,50,189.0,0.2,177.5,136.9,384.2,369.45,0.0,469.0,-31597.5
2022-07-01,2022-07-07,2022-07-28,15700.0,50,50,169.9,0.1,148.0,432.05,370.05,575.4,389.35,130.35,524.9999999999982
2022-07-08,2022-07-14,2022-08-04,16250.0,50,50,159.95,321.5,149.15,0.1,284.75,128.05,353.05,460.0,2347.5000000000036
2022-07-15,2022-07-21,2022-08-11,16000.0,50,50,155.0,0.1,120.0,595.6,306.3,668.2,289.8,78.95,-2887.499999999998
2022-07-22,2022-07-28,2022-08-18,16650.0,50,50,123.0,0.1,124.95,274.6,298.35,415.15,0.0,155.4,-15557.500000000004
2022-07-29,2022-08-04,2022-08-25,17100.0,50,50,158.9,0.2,115.25,285.3,287.95,458.35,314.35,177.4,-1069.9999999999973
2022-08-05,2022-08-11,2022-09-01,17400.0,50,50,170.0,0.15,180.0,265.9,352.7,458.5,277.0,161.35,-1714.999999999999
2022-08-12,2022-08-18,2022-09-08,17650.0,50,50,121.65,0.15,134.05,305.2,0.0,66.7,337.2,113.0,-87.49999999999818
2022-08-19,2022-08-25,2022-09-15,17950.0,50,50,120.0,419.35,144.9,0.2,318.25,167.9,0.0,409.9,-5809.999999999996
2022-08-26,2022-09-01,2022-09-22,17600.0,50,50,127.15,59.55,155.0,1.05,366.7,281.9,270.55,302.65,-1527.500000000001
2022-09-02,2022-09-08,2022-09-29,17600.0,50,50,165.95,0.25,176.1,198.1,342.15,413.0,330.85,191.9,1105.0000000000018
2022-09-09,2022-09-15,2022-10-06,17900.0,50,50,140.1,13.85,134.9,5.2,325.0,305.6,301.15,285.2,1.4779288903810084e-12
2022-09-16,2022-09-22,2022-10-13,17800.0,50,50,146.1,162.3,140.0,0.2,343.15,256.4,340.75,364.7,2265.0000000000023
2022-09-23,2022-09-29,2022-10-20,17600.0,50,50,173.0,791.0,115.25,0.1,370.2,69.05,312.0,651.6,4620.0
2022-09-30,2022-10-06,2022-10-27,16800.0,50,50,193.0,0.1,185.75,538.45,360.05,647.5,376.05,126.7,-440.0000000000018
2022-10-07,2022-10-13,2022-11-03,17300.0,50,50,170.0,289.45,137.0,0.1,343.55,198.65,342.5,462.0,-402.5
2022-10-14,2022-10-20,2022-11-10,17300.0,50,50,179.75,0.15,152.5,250.7,355.8,418.95,415.0,173.95,1320.0
2022-10-21,2022-10-27,2022-11-17,17600.0,50,50,138.45,0.25,120.0,114.95,328.3,367.8,332.0,199.15,1960.000000000001
2022-10-28,2022-11-03,2022-11-24,17750.0,50,50,138.05,0.1,142.0,308.95,315.0,494.9,288.8,127.35,1822.499999999999
2022-11-04,2022-11-10,2023-01-05,18050.0,50,50,127.15,23.3,161.75,0.95,0.0,741.15,0.0,538.6,12975.0
2022-11-11,2022-11-17,2023-01-12,18250.0,50,50,134.95,0.2,115.0,104.95,0.0,622.55,0.0,641.05,-7160.0
2022-11-18,2022-11-24,2023-01-19,18400.0,50,50,120.0,1.65,102.6,43.6,0.0,714.5,0.0,565.0,4507.5
2023-01-02,2023-01-05,2023-01-25,18150.0,50,50,104.05,160.75,103.0,0.25,298.65,181.5,244.3,267.0,980.0000000000014
2023-01-06,2023-01-12,2023-02-02,18000.0,50,50,110.05,143.1,140.0,0.2,340.1,239.5,245.05,288.45,1442.5
2023-01-13,2023-01-19,2023-02-09,17850.0,50,50,124.25,0.15,154.95,262.05,354.1,449.1,260.0,124.5,-35.0
2023-01-20,2023-01-25,2023-02-16,18100.0,50,50,102.0,211.1,113.0,0.2,333.8,193.95,233.0,316.45,-70.0
2023-01-27,2023-02-02,2023-02-23,17900.0,50,50,148.0,292.15,164.5,0.15,335.0,150.45,250.55,368.55,297.5
2023-02-03,2023-02-09,2023-03-02,17700.0,50,50,149.2,0.1,170.0,188.2,310.0,366.8,244.95,103.95,1525.0
2023-02-10,2023-02-16,2023-03-09,17850.0,50,50,89.55,0.15,145.0,198.75,265.05,413.95,183.25,100.0,4449.999999999999
2023-02-17,2023-02-23,2023-03-16,17950.0,50,50,79.9,438.8,130.05,0.1,271.4,69.45,185.3,449.75,1122.5
2023-02-24,2023-03-02,2023-03-23,17600.0,50,50,108.0,274.95,100.0,0.15,271.0,92.9,212.7,305.4,-199.9999999999991
2023-03-03,2023-03-09,2023-03-29,17450.0,50,50,89.05,0.15,84.9,148.55,218.95,309.5,193.35,117.45,695.0000000000005
2023-03-10,2023-03-16,2023-04-06,17450.0,50,50,85.0,470.95,105.0,0.1,222.0,97.3,245.0,382.8,11417.5
2023-03-17,2023-03-23,2023-04-13,17100.0,50,50,125.05,20.1,172.0,4.2,329.9,237.7,204.9,202.7,-1357.4999999999973
2023-03-24,2023-03-29,2023-04-20,17100.0,50,50,120.0,24.65,108.05,0.95,292.75,247.7,220.0,171.25,772.4999999999995
2023-03-31,2023-04-06,2023-04-27,17200.0,50,50,90.0,0.1,95.0,399.45,260.1,489.65,197.0,52.0,-990.0000000000018
2023-04-10,2023-04-13,2023-05-04,17650.0,50,50,120.0,0.2,74.45,173.2,254.0,309.4,181.0,88.25,-3520.000000000001
2023-04-17,2023-04-20,2023-05-11,17850.0,50,50,90.0,226.5,84.9,0.1,0.0,323.8,270.8,231.55,29217.5
2023-04-21,2023-04-27,2023-05-18,17650.0,50,50,89.9,0.1,104.9,257.95,0.0,335.0,200.45,68.6,11200.0
2023-04-28,2023-05-04,2023-05-25,17950.0,50,50,93.0,0.1,99.0,303.65,246.0,410.2,165.0,63.3,-1582.4999999999982
2023-05-05,2023-05-11,2023-06-01,18100.0,50,50,48.0,0.15,135.0,193.95,310.95,356.3,170.65,97.5,585.0000000000014
2023-05-12,2023-05-18,2023-06-08,18250.0,50,50,84.85,116.45,132.05,0.25,235.8,164.35,207.55,203.3,4810.000000000001
2023-05-19,2023-05-25,2023-06-15,18200.0,50,50,80.0,0.3,85.55,119.4,240.0,294.1,208.65,107.0,2110.000000000001
2023-05-26,2023-06-01,2023-06-22,18350.0,50,50,80.0,0.15,115.0,146.55,280.95,306.45,184.6,100.65,-97.50000000000091
2023-06-09,2023-06-15,2023-07-06,18650.0,50,50,71.6,0.95,111.0,37.3,256.7,242.35,155.9,125.0,980.0000000000009
2023-06-16,2023-06-22,2023-07-13,18700.0,50,50,70.0,0.3,110.0,74.4,282.0,293.8,142.95,116.65,199.99999999999955
2023-06-30,2023-07-06,2023-07-27,19100.0,50,50,111.1,0.15,61.6,398.2,220.0,501.7,190.0,70.45,-2315.0
2023-07-07,2023-07-13,2023-08-03,19400.0,50,50,81.0,6.35,111.4,9.0,312.45,237.25,180.05,136.45,-192.4999999999991
2023-07-14,2023-07-20,2023-08-10,19500.0,50,50,90.15,0.15,84.25,481.65,258.25,565.05,174.7,59.15,-3252.5000000000027
2023-07-21,2023-07-27,2023-08-17,19800.0,50,50,70.0,156.9,130.05,0.3,326.05,181.55,174.3,209.7,1837.5000000000011
2023-07-28,2023-08-03,2023-08-24,19650.0,50,50,88.0,277.4,170.05,0.15,299.0,98.4,190.95,320.0,1482.499999999999
2023-08-04,2023-08-10,2023-08-31,19450.0,50,50,80.0,0.25,101.2,87.3,219.75,260.7,182.7,114.85,2147.499999999999
2023-08-11,2023-08-17,2023-09-07,19550.0,50,50,95.05,177.0,111.0,0.1,230.25,121.25,209.55,242.2,2560.000000000001
2023-08-18,2023-08-24,2023-09-14,19300.0,50,50,95.0,0.15,140.0,93.6,276.1,282.5,186.25,112.15,1602.4999999999986
2023-08-25,2023-08-31,2023-09-21,19300.0,50,50,81.05,44.35,120.0,1.05,265.0,245.5,185.0,145.2,5127.5
2023-09-01,2023-09-07,2023-09-28,19250.0,50,50,70.0,0.1,174.9,477.9,320.0,556.6,157.95,41.9,-1012.4999999999991
2023-09-08,2023-09-14,2023-10-05,19750.0,50,50,90.0,0.1,86.95,352.0,0.0,496.1,177.5,60.55,12905.0
2023-09-15,2023-09-21,2023-10-12,20150.0,50,50,85.0,408.55,105.0,0.05,300.85,72.6,163.75,364.0,-1.8189894035458565e-12
2023-09-22,2023-09-28,2023-10-19,19750.0,50,50,103.0,227.45,121.0,0.2,294.0,160.75,170.6,293.05,-522.5000000000009
2023-09-29,2023-10-05,2023-10-26,19600.0,50,50,130.0,54.05,119.0,0.15,282.6,169.7,224.55,206.05,-2575.000000000002
2023-10-06,2023-10-12,2023-11-02,19600.0,50,50,110.0,0.1,87.65,196.2,257.45,384.75,180.0,90.85,-99.99999999999909
2023-10-13,2023-10-19,2023-11-09,19650.0,50,50,70.0,16.9,131.0,0.75,303.35,222.05,178.6,169.5,247.49999999999926
2023-10-20,2023-10-26,2023-11-16,19550.0,50,50,91.55,695.25,125.0,0.1,274.3,33.9,177.45,637.0,1432.5
2023-10-27,2023-11-02,2023-11-23,18950.0,50,50,148.0,0.1,116.0,184.05,299.35,372.7,213.45,90.25,-970.0000000000027
2023-11-03,2023-11-09,2023-11-30,19250.0,50,50,77.8,0.1,110.1,145.95,261.4,323.35,163.0,85.4,1300.0000000000018
2023-11-10,2023-11-16,2023-12-07,19350.0,50,50,75.95,0.1,139.0,433.45,244.8,503.5,170.2,41.6,850.0
2023-11-17,2023-11-23,2023-12-14,19650.0,50,50,49.9,0.1,181.0,151.1,330.0,373.1,138.4,80.9,4035.000000000001
2023-11-24,2023-11-30,2023-12-21,19800.0,50,50,57.8,0.15,138.0,329.65,303.0,530.85,154.75,82.75,2527.5000000000036
2023-12-01,2023-12-07,2023-12-28,20200.0,50,50,99.2,0.05,154.25,701.1,325.0,855.8,203.65,26.4,3102.4999999999964
2023-12-08,2023-12-14,2024-01-04,20950.0,50,50,90.2,0.1,150.4,223.55,338.9,489.65,195.1,78.15,5222.499999999999
2023-12-15,2023-12-21,2024-01-11,21300.0,50,50,90.05,52.35,135.6,0.45,344.95,337.05,194.9,201.9,4127.500000000001
2023-12-22,2023-12-28,2024-01-18,21300.0,50,50,115.0,0.15,185.0,474.55,394.2,726.75,226.15,111.9,2120.0
2023-12-29,2024-01-04,2024-01-25,21750.0,50,50,135.0,98.35,249.75,0.1,496.0,271.35,274.95,240.5,1140.0000000000014
2024-01-05,2024-01-11,2024-02-01,21700.0,50,50,111.05,55.95,148.95,0.25,401.95,282.55,237.9,260.7,-2429.999999999998
2024-01-12,2024-01-18,2024-02-08,21750.0,50,50,165.0,292.3,115.0,0.1,348.85,242.35,282.55,388.1,1507.4999999999973
2024-01-19,2024-01-25,2024-02-15,21600.0,50,50,154.65,271.4,168.0,0.2,405.0,225.15,258.7,363.5,-5.0000000000027285
2024-01-29,2024-02-01,2024-02-22,21450.0,50,50,194.0,0.2,171.0,251.5,360.0,532.6,279.55,168.15,485.0000000000018
2024-02-02,2024-02-08,2024-02-29,21800.0,50,50,151.15,99.0,165.6,0.25,360.0,312.65,275.0,299.25,2079.999999999999
2024-02-09,2024-02-15,2024-03-07,21750.0,50,50,171.2,0.2,176.35,156.55,396.0,478.3,0.0,175.5,-12220.0
2024-02-16,2024-02-22,2024-03-14,22000.0,50,50,132.9,0.3,169.0,207.7,410.55,493.65,280.0,170.1,1084.9999999999982
2024-02-23,2024-02-29,2024-03-21,22300.0,50,50,168.0,328.95,150.5,0.15,402.75,215.55,301.7,372.25,2677.4999999999995
2024-03-01,2024-03-07,2024-03-28,22050.0,50,50,132.0,0.1,197.65,446.45,405.0,595.2,296.45,95.5,522.5000000000018
2024-03-11,2024-03-14,2024-04-04,22500.0,50,50,125.0,354.4,125.75,0.1,380.0,187.25,259.4,361.25,3022.499999999999
2024-03-15,2024-03-21,2024-04-10,22050.0,50,50,116.45,42.95,239.65,0.25,0.0,337.7,0.0,179.75,16192.5
2024-03-22,2024-03-28,2024-04-18,21950.0,50,50,89.8,0.55,225.6,384.8,393.05,650.0,177.45,96.0,4497.5
2024-04-01,2024-04-04,2024-04-25,22450.0,50,50,123.9,2.5,102.0,54.75,360.0,331.65,260.05,163.5,-297.5
2024-04-05,2024-04-10,2024-05-02,22500.0,50,25,116.4,0.15,140.0,251.7,325.25,470.2,207.85,111.45,-5363.75
2024-04-12,2024-04-18,2024-05-09,22700.0,50,25,147.65,707.9,145.0,0.1,345.75,80.0,224.0,618.85,18742.5
2024-04-19,2024-04-25,2024-05-16,21850.0,50,25,149.95,0.15,295.9,735.65,424.0,610.0,0.0,89.0,-27052.5
2024-04-26,2024-05-02,2024-05-23,22600.0,25,25,131.05,0.5,150.0,55.4,331.65,344.35,269.75,193.9,1315.0000000000005
2024-05-03,2024-05-09,2024-05-30,22750.0,25,25,105.15,791.35,151.05,0.1,334.0,63.25,250.0,739.9,1912.5
2024-05-10,2024-05-16,2024-06-06,22000.0,25,25,159.9,0.35,182.0,399.8,567.15,777.95,435.0,286.05,-439.99999999999864
2024-05-17,2024-05-23,2024-06-13,22400.0,25,25,140.5,0.2,171.0,562.7,574.3,909.45,0.0,242.75,-10990.0
2024-05-24,2024-05-30,2024-06-20,22950.0,25,25,148.0,468.8,190.0,0.15,0.0,234.05,0.0,290.0,11367.5
2024-05-31,2024-06-06,2024-06-27,22550.0,25,25,500.0,0.25,557.0,256.45,629.15,576.25,482.45,207.3,576.2499999999991
2024-06-07,2024-06-13,2024-07-04,22800.0,25,25,216.5,0.1,294.35,597.4,479.85,720.15,347.25,80.65,-313.75
2024-06-14,2024-06-20,2024-07-11,23450.0,25,25,170.0,0.25,109.55,114.75,373.55,396.25,333.0,187.2,-161.24999999999955
2024-06-21,2024-06-27,2024-07-18,23650.0,25,25,154.95,0.2,116.2,389.75,356.45,568.3,400.0,154.1,736.2499999999991
2024-06-28,2024-07-04,2024-07-25,24100.0,25,25,192.7,0.15,145.6,199.6,387.75,433.0,347.65,173.2,-671.25
2024-07-05,2024-07-11,2024-08-01,24200.0,25,25,93.25,0.2,200.5,113.45,390.65,461.85,287.15,226.75,3140.000000000001
2024-07-12,2024-07-18,2024-08-08,24400.0,25,25,109.9,0.2,130.25,405.05,410.0,634.05,347.5,166.4,516.2499999999991
2024-07-19,2024-07-25,2024-08-14,24850.0,25,25,270.0,446.7,199.7,0.1,389.25,250.2,0.0,499.4,-6553.75
2024-07-26,2024-08-01,2024-08-22,24400.0,25,25,155.0,0.1,165.0,608.7,375.0,696.05,279.0,86.0,-2113.7500000000027
2024-08-02,2024-08-08,2024-08-29,24800.0,25,25,125.15,674.5,172.0,0.1,400.0,85.3,345.0,744.05,187.50000000000182
2024-08-09,2024-08-14,2024-09-05,24400.0,25,25,186.15,256.05,130.1,0.15,365.45,230.7,368.85,409.45,612.5000000000009
2024-08-16,2024-08-22,2024-09-12,24350.0,25,25,189.5,0.1,145.0,458.8,392.6,626.35,316.6,80.7,-838.7499999999991
2024-08-23,2024-08-29,2024-09-19,24850.0,25,25,137.45,0.45,146.3,318.8,331.25,520.6,276.0,135.25,515.0000000000009
2024-08-30,2024-09-05,2024-09-26,25250.0,25,25,155.45,103.6,130.0,0.25,360.0,292.7,329.95,305.55,874.9999999999994
